time_ms,time_s,light_level,motion,led_state,mode
51,0.051,1022,1,0,0
302,0.302,1022,1,0,0
553,0.553,1022,1,0,0
805,0.805,1022,1,0,0
1057,1.057,1022,1,0,0
1309,1.309,1022,1,0,0
1561,1.561,1022,1,0,0
1813,1.813,1022,1,0,0
2065,2.065,1022,1,0,0
2317,2.317,1022,1,0,0
2569,2.569,1022,1,0,0
2821,2.821,1022,1,0,0
3073,3.073,1022,1,0,0
3324,3.324,1022,1,0,0
3576,3.576,1022,1,0,0
3827,3.827,1022,1,0,0
4079,4.079,1022,1,0,0
4331,4.331,1022,1,0,0
4583,4.583,1022,1,0,0
4835,4.835,1022,1,0,0
5087,5.087,1022,1,0,0
5339,5.339,1022,1,0,0
5591,5.591,1022,1,0,0
5842,5.842,1022,1,0,0
6094,6.094,1022,1,0,0
6346,6.346,1022,1,0,0
6598,6.598,1022,1,0,0
6850,6.85,1022,0,0,0
7102,7.102,1022,0,0,0
7354,7.354,1022,0,0,0
7606,7.606,1021,0,0,0
7857,7.857,1022,0,0,0
8109,8.109,1022,0,0,0
8360,8.36,1022,0,0,0
8612,8.612,1022,0,0,0
8864,8.864,1022,0,0,0
9116,9.116,1022,0,0,0
9368,9.368,1022,0,0,0
9620,9.62,1022,0,0,0
9872,9.872,1021,0,0,0
10124,10.124,1021,0,0,0
10376,10.376,1022,0,0,0
10628,10.628,1022,0,0,0
10880,10.88,1022,0,0,0
11131,11.131,1022,0,0,0
11383,11.383,1022,0,0,0
11635,11.635,1021,0,0,0
11887,11.887,1022,0,0,0
12139,12.139,1022,0,0,0
12391,12.391,1022,0,0,0
12643,12.643,1022,0,0,0
12895,12.895,1022,0,0,0
13147,13.147,1022,0,0,0
13399,13.399,1022,0,0,0
13650,13.65,1022,0,0,0
13902,13.902,1022,0,0,0
14154,14.154,1022,0,0,0
14406,14.406,1022,0,0,0
14658,14.658,1022,0,0,0
14910,14.91,1022,0,0,0
15162,15.162,1022,0,0,0
15414,15.414,1022,0,0,0
15666,15.666,1022,0,0,0
15918,15.918,1022,0,0,0
16169,16.169,1022,0,0,0
16420,16.42,1022,0,0,0
16672,16.672,1022,0,0,0
16924,16.924,1022,0,0,0
17176,17.176,1022,0,0,0
17428,17.428,1021,0,0,0
17680,17.68,1021,0,0,0
17932,17.932,1021,0,0,0
18184,18.184,1022,0,0,0
18436,18.436,1022,0,0,0
18688,18.688,1022,0,0,0
18939,18.939,1022,0,0,0
19191,19.191,1021,0,0,0
19443,19.443,1022,0,0,0
19695,19.695,1021,0,0,0
19947,19.947,1022,0,0,0
20199,20.199,1022,0,0,0
20451,20.451,1022,1,0,0
20703,20.703,1022,1,0,0
20955,20.955,1022,1,0,0
21207,21.207,1021,1,0,0
21458,21.458,1022,1,0,0
21710,21.71,1022,1,0,0
21962,21.962,1022,1,0,0
22214,22.214,1022,1,0,0
22466,22.466,1022,1,0,0
22718,22.718,1022,1,0,0
22970,22.97,1022,1,0,0
23222,23.222,1022,1,0,0
23474,23.474,1022,1,0,0
23726,23.726,1021,1,0,0
24177,24.177,1022,1,1,1
24429,24.429,1022,1,1,1
24681,24.681,1022,1,1,1
24933,24.933,1022,1,1,1
25185,25.185,1021,1,1,1
25437,25.437,1022,1,1,1
25889,25.889,1022,1,0,2
26141,26.141,1022,1,0,2
26393,26.393,1022,1,0,2
26645,26.645,1022,1,0,2
26897,26.897,1022,1,0,2
27148,27.148,1021,1,0,2
27400,27.4,1022,1,0,2
27652,27.652,1022,1,0,2
27904,27.904,1022,1,0,2
28155,28.155,1022,1,0,2
28407,28.407,1022,1,0,2
28659,28.659,1022,1,0,2
28911,28.911,1022,1,0,2
29163,29.163,1022,1,0,2
29415,29.415,1022,1,0,2
29667,29.667,1022,1,0,2
29919,29.919,1022,1,0,2
30171,30.171,1022,1,0,2
30423,30.423,1022,1,0,2
30674,30.674,1022,1,0,2
30926,30.926,1021,1,0,2
31178,31.178,1008,1,0,2
31430,31.43,986,1,0,2
31682,31.682,945,1,0,2
31934,31.934,981,1,0,2
32186,32.186,924,1,0,2
32438,32.438,799,1,0,2
32690,32.69,691,1,0,2
32942,32.942,759,1,0,2
33193,33.193,795,1,0,2
33445,33.445,602,1,0,2
33697,33.697,683,1,0,2
33949,33.949,535,1,0,2
34401,34.401,708,1,1,0
34653,34.653,561,1,1,0
34905,34.905,613,1,1,0
35156,35.156,527,1,1,0
35408,35.408,535,1,1,0
35660,35.66,620,1,1,0
35912,35.912,513,1,1,0
36163,36.163,626,1,1,0
36415,36.415,445,1,1,0
36667,36.667,625,1,1,0
36919,36.919,550,1,1,0
37171,37.171,517,1,1,0
37423,37.423,532,1,1,0
37675,37.675,515,1,1,0
37926,37.926,640,1,1,0
38178,38.178,419,1,1,0
38430,38.43,618,1,1,0
38682,38.682,472,1,1,0
38934,38.934,583,1,1,0
39186,39.186,511,1,1,0
39438,39.438,511,1,1,0
39690,39.69,560,1,1,0
39942,39.942,478,1,1,0
40193,40.193,615,1,1,0
40444,40.444,419,1,1,0
40696,40.696,604,1,1,0
40948,40.948,509,1,1,0
41200,41.2,519,1,1,0
41452,41.452,517,1,1,0
41704,41.704,505,1,1,0
41956,41.956,593,1,1,0
42208,42.208,424,1,1,0
42460,42.46,612,1,1,0
42712,42.712,439,1,1,0
42963,42.963,567,1,1,0
43215,43.215,509,1,1,0
43467,43.467,509,1,1,0
43719,43.719,530,1,1,0
43971,43.971,481,1,1,0
44222,44.222,616,1,1,0
44474,44.474,409,1,1,0
44726,44.726,608,1,1,0
44978,44.978,460,1,1,0
45230,45.23,546,1,1,0
45481,45.481,511,1,1,0
45733,45.733,507,1,1,0
45985,45.985,552,1,1,0
46237,46.237,446,1,1,0
46489,46.489,613,1,1,0
46741,46.741,416,1,1,0
46993,46.993,590,1,1,0
47245,47.245,495,1,1,0
47497,47.497,513,1,1,0
47749,47.749,514,1,1,0
48001,48.001,497,1,1,0
48252,48.252,575,1,1,0
48503,48.503,425,1,1,0
48755,48.755,611,1,1,0
49007,49.007,424,1,1,0
49259,49.259,574,1,1,0
49511,49.511,504,1,1,0
49763,49.763,511,1,1,0
50015,50.015,518,0,1,0
50267,50.267,477,0,1,0
50519,50.519,603,0,1,0
50770,50.77,409,0,1,0
51022,51.022,606,0,1,0
51274,51.274,443,0,1,0
51526,51.526,548,0,1,0
51778,51.778,511,0,1,0
52030,52.03,507,0,1,0
52282,52.282,532,0,1,0
52533,52.533,463,0,1,0
52785,52.785,608,0,1,0
53037,53.037,411,0,1,0
53288,53.288,600,0,1,0
53540,53.54,462,0,1,0
53792,53.792,529,0,1,0
54044,54.044,511,0,1,0
54296,54.296,502,0,1,0
54548,54.548,552,0,1,0
54800,54.8,433,0,1,0
55052,55.052,613,0,1,0
55304,55.304,416,0,1,0
55556,55.556,579,0,1,0
55808,55.808,498,0,1,0
56059,56.059,511,0,1,0
56311,56.311,516,0,1,0
56563,56.563,485,0,1,0
56814,56.814,587,0,1,0
57066,57.066,413,0,1,0
57318,57.318,609,0,1,0
57570,57.57,431,0,1,0
57822,57.822,554,0,1,0
58074,58.074,507,0,1,0
58326,58.326,508,0,1,0
58577,58.577,526,1,1,0
58829,58.829,468,1,1,0
59081,59.081,607,1,1,0
59333,59.333,410,1,1,0
59585,59.585,602,1,1,0
59837,59.837,458,1,1,0
60089,60.089,531,1,1,0
60341,60.341,511,1,1,0
60593,60.593,503,1,1,0
60844,60.844,550,1,1,0
61095,61.095,438,1,1,0
61347,61.347,613,1,1,0
61599,61.599,415,1,1,0
61851,61.851,577,1,1,0
62103,62.103,494,1,1,0
62355,62.355,511,1,1,0
62607,62.607,516,1,1,0
62859,62.859,487,1,1,0
63111,63.111,583,1,1,0
63363,63.363,413,1,1,0
63614,63.614,609,1,1,0
63866,63.866,431,1,1,0
64118,64.118,557,0,1,0
64370,64.37,507,0,1,0
64622,64.622,509,0,1,0
64873,64.873,526,0,1,0
65125,65.125,468,0,1,0
65377,65.377,605,0,1,0
65629,65.629,409,0,1,0
65881,65.881,602,0,1,0
66132,66.132,457,0,1,0
66384,66.384,532,0,1,0
66636,66.636,511,0,1,0
66888,66.888,501,0,1,0
67140,67.14,550,0,1,0
67392,67.392,434,0,1,0
67644,67.644,613,0,1,0
67896,67.896,416,0,1,0
68148,68.148,581,0,1,0
68400,68.4,496,0,1,0
68652,68.652,511,0,1,0
68903,68.903,516,0,1,0
69154,69.154,489,0,1,0
69406,69.406,580,0,1,0
69658,69.658,415,0,1,0
69910,69.91,610,0,1,0
70162,70.162,429,0,1,0
70414,70.414,562,0,1,0
70666,70.666,505,0,1,0
70918,70.918,509,0,1,0
71170,71.17,525,0,1,0
71421,71.421,469,0,1,0
71673,71.673,604,0,1,0
71925,71.925,409,0,1,0
72177,72.177,603,0,1,0
72429,72.429,455,0,1,0
72681,72.681,534,0,1,0
72933,72.933,511,0,1,0
73184,73.184,504,0,1,0
73436,73.436,545,0,1,0
73688,73.688,441,0,1,0
73939,73.939,613,0,0,0
74191,74.191,414,0,0,0
74443,74.443,596,0,0,0
74695,74.695,492,0,0,0
74947,74.947,511,0,0,0
75199,75.199,514,0,0,0
75451,75.451,493,0,0,0
75703,75.703,571,0,0,0
75955,75.955,441,0,0,0
76207,76.207,611,0,0,0
76459,76.459,442,1,1,0
76710,76.71,643,1,1,0
76962,76.962,594,1,1,0
77214,77.214,620,1,1,0
77465,77.465,640,1,1,0
77717,77.717,577,1,1,0
77969,77.969,701,1,1,0
78221,78.221,874,1,1,0
78473,78.473,1022,1,0,0
78725,78.725,1021,1,0,0
78977,78.977,1022,1,0,0
79228,79.228,1022,1,0,0
79480,79.48,1022,1,0,0
79732,79.732,1022,1,0,0
79984,79.984,1022,1,0,0
80236,80.236,1022,1,0,0
80488,80.488,1022,1,0,0
80740,80.74,1021,1,0,0
80992,80.992,1012,1,0,0
81244,81.244,1011,1,0,0
81496,81.496,1014,1,0,0
81747,81.747,975,1,0,0
81999,81.999,959,1,0,0
82251,82.251,917,1,0,0
82503,82.503,974,1,0,0
82755,82.755,924,1,0,0
83007,83.007,824,1,1,0
83259,83.259,789,1,1,0
83511,83.511,832,1,1,0
83763,83.763,869,1,1,0
84015,84.015,661,1,1,0
84265,84.265,722,1,1,0
84517,84.517,590,1,1,0
84769,84.769,776,1,1,0
85021,85.021,647,1,1,0
85273,85.273,656,1,1,0
85525,85.525,574,1,1,0
85777,85.777,639,1,1,0
86029,86.029,666,1,1,0
86281,86.281,571,1,1,0
86533,86.533,687,1,1,0
86785,86.785,611,1,1,0
87036,87.036,853,1,1,0
87288,87.288,812,1,1,0
87540,87.54,864,1,1,0
87792,87.792,936,1,0,0
88044,88.044,982,1,0,0
88295,88.295,967,1,0,0
88547,88.547,923,1,0,0
88799,88.799,980,1,0,0
89051,89.051,998,1,0,0
89303,89.303,992,1,0,0
89554,89.554,896,1,1,0
89806,89.806,880,1,1,0
90058,90.058,859,1,1,0
90310,90.31,784,1,1,0
90562,90.562,790,1,1,0
90814,90.814,563,1,1,0
91066,91.066,698,1,1,0
91318,91.318,608,1,1,0
91570,91.57,702,1,1,0
91822,91.822,598,1,1,0
92073,92.073,578,1,1,0
92325,92.325,567,1,1,0
92576,92.576,574,1,1,0
92828,92.828,651,1,1,0
93080,93.08,517,1,1,0
93332,93.332,634,1,1,0
93584,93.584,464,1,1,0
